name,value,units,description
spatial_coeff,0.4,dimensionless,used to calculate the scaling parameter
rooting_depth_factor,0.75,dimensionless,proportion of soil thickness used for evapotranspiration
macropore_fraction,0.15,fraction,fraction of precipitation that can bypass the unsaturated subsurface zone and move directly into the saturated subsurface zone
water_body_delay,15,days,water body delay
impervious_effective,0.7,dimensionless,changes total impervious area
impervious_runoff_delay,0.1,dimensionless,proportion of precip delayed to next day
impervious_curve_number,90,dimensionless,TR55 parameter
snowmelt_temperature_cutoff,32,degrees fahrenheit,temperature cutoff for snowpack accumulation and snowmelt
snowmelt_rate_coeff,0.06,1/degrees fahrenheit,used to control rate of snow melt
snowmelt_rate_coeff_with_rain,0.007,inches per degree fahrenheit,used to control rate of snow melt when raining
pet_calib_coeff,1.2,dimensionless,pet hamon calibration coefficient (KPEC) initially set to 1.2 for Southeastern United States
