date,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
1980-01-22,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88,2699.88
1980-01-23,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61,2699.61
1980-01-24,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32,2699.32
1980-01-25,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07,2699.07
1980-01-26,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86,2698.86
1980-01-27,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71,2698.71
1980-01-28,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39,2698.39
1980-01-29,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15,2698.15
1980-01-30,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92,2697.92
1980-01-31,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71,2697.71
1980-02-01,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52,2697.52
1980-02-02,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35,2697.35
1980-02-03,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18,2697.18
1980-02-04,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02,2697.02
1980-02-05,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81,2696.81
1980-02-06,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59,2696.59
1980-02-07,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38,2696.38
1980-02-08,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14,2696.14
1980-02-09,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86,2695.86
1980-02-10,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58,2695.58
1980-02-11,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29,2695.29
1980-02-12,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05,2695.05
1980-02-13,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80,2694.80
1980-02-14,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50,2694.50
1980-02-15,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32,2694.32
1980-02-16,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2830.66,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44
1980-02-17,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2955.71,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77
1980-02-18,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2955.27,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34
1980-02-19,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2954.95,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02
1980-02-20,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2954.42,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49
1980-02-21,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2954.00,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08
1980-02-22,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3119.82,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11
1980-02-23,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3215.43,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68
1980-02-24,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3215.09,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36
1980-02-25,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3214.27,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57
1980-02-26,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3212.87,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25
1980-02-27,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3211.96,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38
1980-02-28,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3211.07,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54
1980-02-29,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3210.47,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97
1980-03-01,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3209.75,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28
1980-03-02,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3209.31,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87
1980-03-03,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3208.54,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13
1980-03-04,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3207.73,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36
1980-03-05,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3222.78,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43
1980-03-06,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3244.40,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08
1980-03-07,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3242.98,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74
1980-03-08,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3311.25,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04
1980-03-09,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3378.76,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62
1980-03-10,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3581.04,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52
1980-03-11,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3789.47,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64
1980-03-12,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3808.52,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76
1980-03-13,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3806.68,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11
1980-03-14,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3803.96,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67
1980-03-15,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3802.22,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12
1980-03-16,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3800.32,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41
1980-03-17,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3874.23,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19
1980-03-18,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4066.08,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26
