date,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
1980-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,40.20,83.44,126.68,170.30,660.03,660.03,660.03,660.03,660.03
1980-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.14,51.26,96.39,141.51,186.63,676.36,676.36,676.36,676.36,676.36
1980-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,59.93,105.06,150.18,195.30,685.03,685.03,685.03,685.03,685.03
1980-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.76,67.88,113.00,158.13,203.25,692.98,692.98,692.98,692.98,692.98
1980-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10,75.22,120.34,165.47,210.59,700.32,700.32,700.32,700.32,700.32
1980-01-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.91,82.04,127.16,172.28,217.41,707.13,707.13,707.13,707.13,707.13
1980-01-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,43.28,88.40,133.52,178.65,223.77,713.50,713.50,713.50,713.50,713.50
1980-01-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,49.24,94.37,139.49,184.61,229.74,719.46,719.46,719.46,719.46,719.46
1980-01-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.74,54.86,99.99,145.11,190.23,235.36,725.08,725.08,725.08,725.08,725.08
1980-01-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.05,60.17,105.29,150.42,195.54,240.66,730.39,730.39,730.39,730.39,730.39
1980-02-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.07,65.20,110.32,155.44,200.57,245.69,735.42,735.42,735.42,735.42,735.42
1980-02-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.85,69.97,115.10,160.22,205.34,250.47,740.19,740.19,740.19,740.19,740.19
1980-02-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.40,74.53,119.65,164.77,209.89,255.02,744.74,744.74,744.74,744.74,744.74
1980-02-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.75,78.87,123.99,169.12,214.24,259.36,749.09,749.09,749.09,749.09,749.09
1980-02-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.90,83.03,128.15,173.27,218.40,263.52,753.24,753.24,753.24,753.24,753.24
1980-02-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89,87.01,132.13,177.26,222.38,267.50,757.23,757.23,757.23,757.23,757.23
1980-02-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,45.71,90.83,135.96,181.08,226.20,271.33,761.05,761.05,761.05,761.05,761.05
1980-02-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,49.39,94.51,139.64,184.76,229.88,275.00,764.73,764.73,764.73,764.73,764.73
1980-02-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,52.93,98.05,143.18,188.30,233.42,278.55,768.27,768.27,768.27,768.27,768.27
1980-02-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.22,56.35,101.47,146.59,191.72,236.84,281.96,771.69,771.69,771.69,771.69,771.69
1980-02-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.52,59.65,104.77,149.89,195.01,240.14,285.26,774.99,774.99,774.99,774.99,774.99
1980-02-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.71,62.83,107.96,153.08,198.20,243.33,288.45,778.18,778.18,778.18,778.18,778.18
1980-02-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.80,65.92,111.04,156.17,201.29,246.41,291.54,781.26,781.26,781.26,781.26,781.26
1980-02-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.79,68.91,114.03,159.16,204.28,249.40,294.53,784.25,784.25,784.25,784.25,784.25
1980-02-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.69,71.81,116.93,162.06,207.18,252.30,297.43,787.15,787.15,787.15,787.15,787.15
1980-02-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.30,56.90,102.02,147.14,192.27,237.39,282.51,772.24,772.24,772.24,772.24,772.24
1980-02-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.85,86.97,132.09,177.22,222.34,267.46,757.19,757.19,757.19,757.19,757.19
1980-02-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,45.65,90.78,135.90,181.02,226.15,271.27,761.00,761.00,761.00,761.00,761.00
1980-02-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,49.33,94.46,139.58,184.70,229.83,274.95,764.68,764.68,764.68,764.68,764.68
1980-02-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75,52.88,98.00,143.12,188.25,233.37,278.49,768.22,768.22,768.22,768.22,768.22
1980-02-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.17,56.30,101.42,146.54,191.67,236.79,281.91,771.64,771.64,771.64,771.64,771.64
1980-02-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,39.74,84.87,129.99,175.11,220.24,265.36,755.09,755.09,755.09,755.09,755.09
1980-02-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.15,76.28,121.40,166.52,211.65,256.77,746.50,746.50,746.50,746.50,746.50
1980-02-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.42,80.54,125.67,170.79,215.91,261.04,750.76,750.76,750.76,750.76,750.76
1980-02-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.51,84.63,129.75,174.88,220.00,265.12,754.85,754.85,754.85,754.85,754.85
1980-02-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,43.42,88.55,133.67,178.79,223.92,269.04,758.77,758.77,758.77,758.77,758.77
1980-02-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,47.19,92.31,137.44,182.56,227.68,272.81,762.53,762.53,762.53,762.53,762.53
1980-02-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,50.81,95.94,141.06,186.18,231.30,276.43,766.15,766.15,766.15,766.15,766.15
1980-02-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.18,54.30,99.43,144.55,189.67,234.80,279.92,769.65,769.65,769.65,769.65,769.65
